MotherLot,ChildLotId,ProductName,WorkOrder,PanelId,MagazineId
A20041100039,A20041100039.003,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.004,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.005,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.006,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.007,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.008,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.009,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.010,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.011,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.012,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.013,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.014,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.015,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.016,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.017,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.018,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.019,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100039,A20041100039.020,122-000000-K68H,SP104-200400004,HA180104020474,HT04
A20041100050,A20041100050,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.001,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.002,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.003,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.004,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.005,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.006,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.007,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.008,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.009,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.010,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.011,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.012,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.013,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.014,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.015,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.016,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.017,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.018,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100050,A20041100050.019,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
